Companies
Western Union
Celanese
Telephone & Data Systems
Polo Ralph Lauren
Auto-Owners Insurance
Core-Mark Holding
Western & Southern Financial Group
CenturyTel
Atmos Energy
Universal American
SPX
O'Reilly Automotive
Harley-Davidson
Holly
EOG Resources
Spectra Energy
Starwood Hotels & Resorts
TravelCenters of America
BlackRock
Laboratory Corp. of America
Health Management Associates
NYSE Euronext
St. Jude Medical
Tenneco
Consol Energy
ArvinMeritor
Lubrizol
Alliant Techsystems
Washington Post
Las Vegas Sands
Genzyme
Allergan
Broadcom
Agilent Technologies
Rockwell Collins
W.R. Berkley
PepsiAmericas
Dick's Sporting Goods
FMC Technologies
NII Holdings
General Cable
Biogen Idec
AbitibiBowater
Flowserve
Airgas
Kindred Healthcare
American Financial Group
Spectrum Group International
CA
Con-way
Erie Insurance Group
Casey's General Stores
Centene
Sealed Air
Frontier Oil
Scana
Live Nation Entertainment
Fiserv
Host Hotels & Resorts
H&R Block
Electronic Arts
Franklin Resources
MDU Resources Group
CB Richard Ellis Group
Blockbuster
Walmart
CVS Health
Alphabet
Walgreens Boots Alliance
JPMorgan Chase
Phillips 66
Bank of America
Marathon Petroleum
Anthem
Dell Technologies
DuPont de Nemours
State Farm Insurance
IBM
Albertsons
HP
Facebook
Energy Transfer
AIG
HCA Healthcare
American Airlines Group
United Continental Holdings
TIAA
Enterprise Products Partners
Plains GP Holdings
AbbVie
Hewlett Packard Enterprise
Twenty-First Century Fox
Travelers
INTL FCStone
PBF Energy
Kraft Heinz
Mondelez International
DXC Technology
US Foods Holding
CenturyLink
Jabil
ManpowerGroup
Aflac
Tesla
CBRE Group
AECOM
Bank of New York Mellon
Molina Healthcare
Freeport-McMoRan
Synchrony Financial
HollyFrontier
Performance Food Group
NGL Energy Partners
XPO Logistics
PG&E
NextEra Energy
Jones Lang LaSalle
WestRock
Cognizant Technology Solutions
Netflix
PayPal Holdings
Celgene
Mastercard
Booking Holdings
Parker-Hannifin
Qurate Retail
Arconic
Stanley Black & Decker
Biogen
Dominion Energy
ADP
salesforce.com
L Brands
Newell Brands
Murphy USA
LKQ
Steel Dynamics
Lithia Motors
MGM Resorts International
Nvidia
Farmers Insurance Exchange
Expedia Group
Quanta Services
Lam Research
L3 Technologies
Molson Coors Brewing
Discovery
BorgWarner
Targa Resources
Ally Financial
IQVIA Holdings
Delek US Holdings
United Natural Foods
Leidos Holdings
PulteGroup
DCP Midstream
PVH
Altice USA
Pioneer Natural Resources
Coty
Vistra Energy
Adobe
Brighthouse Financial
Voya Financial
Hilton Worldwide Holdings
Veritiv
Westlake Chemical
Univar
J.B. Hunt Transport Services
Frontier Communications
Jones Financial (Edward Jones)
Eversource Energy
Fidelity National Information Services
Yum China Holdings
Thor Industries
Alaska Air Group
Amphenol
WESCO International
Huntington Ingalls Industries
Jefferies Financial Group
Expeditors Intl. of Washington
EMCOR Group
SpartanNash
United Rentals
Cheniere Energy
Conagra Brands
Zimmer Biomet Holdings
Tractor Supply
Berry Global Group
Alliance Data Systems
Builders FirstSource
EnLink Midstream
WEC Energy Group
JetBlue Airways
A-Mark Precious Metals
Constellation Brands
Activision Blizzard
Raymond James Financial
Keurig Dr Pepper
American Tower
J.M. Smucker
Citizens Financial Group
Motorola Solutions
Magellan Health
American Axle & Manufacturing
Newmont Goldcorp
Spirit AeroSystems Holdings
Fortive
NVR
Toll Brothers
Sanmina
Insight Enterprises
Packaging Corp. of America
Olin
Arthur J. Gallagher
MasTec
Alleghany
Asbury Automotive Group
Markel
Blackstone Group
Hanesbrands
Wayfair
Wynn Resorts
Ulta Beauty
Regeneron Pharmaceuticals
Burlington Stores
Northern Trust
Chemours
Seaboard
Ascena Retail Group
Cintas
M&T Bank Corp.
ABM Industries
Beacon Roofing Supply
iHeartMedia
Intercontinental Exchange
S&P Global
Post Holdings
Analog Devices
Ralph Lauren
L3Harris Technologies
Booz Allen Hamilton
Polaris Industries
Realogy Holdings
HD Supply Holdings
Graphic Packaging Holding
Old Republic International
Intuit
NetApp
Tapestry
ON Semiconductor
Ingredion
Zoetis
TreeHouse Foods
Robert Half International
First American Financial
Windstream Holdings
Williams-Sonoma
Simon Property Group
Navient
Levi Strauss
Lehman Brothers
Plains All Amer. Pipeline
Countrywide Financial
DIRECTV Group
Enterprise Products
Reliant Energy
Kinder Morgan Energy
TEPPCO Partners
Echostar Communications
Burlington Resources
IAC/InterActiveCorp
WPS Resources
Energy Transfer Partners
Freescale Semiconductor
Ryerson
BlueLinx Holdings
Fisher Scientific Intl.
Hovnanian Enterprises
Energy East
Timken
Beazer Homes USA
Triad Hospitals
Avaya
MDC Holdings
Liz Claiborne
Ryland Group
Hexion Specialty Chemicals
Affiliated Computer Svcs.
Western & Southern Financial
Mirant
Freeport-McMoRan Cpr. & Gld
Wm. Wrigley Jr.
Universal Health Svcs.
Standard Pacific
Marshall & Ilsley Corp.
LandAmerica Financial
Verizon
Costco
JP Morgan Chase
Express Scripts Holding
Walgreens
UPS
Lowe
HCA Holdings
DirecTV
Macy
McDonald
US Foods
Kohl's
Hartford Financial Services Group
Kraft Foods Group
Land O'Lakes
DaVita HealthCare Partners
Leucadia National
Liberty Interactive
CST Brands
Peter Kiewit Sons'
Priceline Group
KKR
O'Reilly Automotive
Casey's General Stores
Dick's Sporting Goods
Dillard's
Level 3 Communications
Buckeye Partners
SanDisk
Lansing Trade Group
Expeditors International of Washington
Jones Financial
Discovery Communications
Trinity Industries
TEGNA
HRG Group
MRC Global
Calumet Specialty Products Partners
Expedia
AGL Resources
Booz Allen Hamilton Holding
Quintiles Transnational Holdings
Harman International Industries
Essendant
ARRIS Group
LifePoint Health
Wyndham Worldwide
McGraw Hill Financial
Exxon
WalMart
GM
Ford
GE
Citigroup
Enron
IBM
AT&T
Verizon
Altria
Chase
BofA
SBC
Boeing
Texaco
Duke
Kroger
Chevron
MS
P&G
GS
JC Penney
Costco
UPS
J&J
Lehman
Disney
Coca Cola
Pepsi
Cisco
Cola-Cola
Valero
McDonalds
Lilly
BS
Allied Waste
Interpublic
JP Morgan
Amazon
ToysRUs
CVS
Google
JP Morgan
Bofa
PayPal
MGM 
Jefferies
Blackstone
Levi's
Lehman
ETP
JP Morgan
Macy's
McDonald's
Booz Allen
Wal-Mart
Citi
Bofa
Goldman
Lehman Brothers
Coca Cola
J.P. Morgan
Toys R Us
J.P. Morgan
Goldman Sachs
